Id,closnesscentrality,betweenesscentrality,eigencentrality,Degree
0,0.182166,149805.684505,0.013913,13
24208,0.175584,25573.258869,0.00749,6
24445,0.164619,14713.503646,0.004523,5
18055,0.177678,11588.0424,0.007234,5
26575,0.179208,68325.730555,0.010511,8
12596,0.169029,5033.222051,0.005391,3
28092,0.192954,177239.539089,0.017525,11
14484,0.159314,2754.349176,0.002843,3
14809,0.184349,72691.478579,0.009858,8
47328,0.188028,58642.489108,0.01168,7
32542,0.159745,1035.208268,0.002006,2
36124,0.200925,189545.886959,0.029961,15
35300,0.196065,173551.423611,0.02829,16
2570,0.161681,3039.84517,0.002823,3
1,0.179336,34580.805683,0.007224,5
5463,0.180887,51538.661793,0.021999,12
14232,0.160055,706.656327,0.001779,2
4833,0.203212,112361.074154,0.026421,10
36852,0.205619,63784.943632,0.040154,10
37620,0.172448,29902.248434,0.008513,6
2,0.198751,153666.559162,0.028354,17
45548,0.184321,12398.882485,0.011385,5
34493,0.180726,56259.966953,0.010014,6
7694,0.195793,77347.824374,0.028681,11
27683,0.186393,33645.002684,0.012456,7
41624,0.178564,58951.307656,0.00884,6
21711,0.190565,82965.151426,0.019983,12
9769,0.210236,383331.703723,0.048733,18
34620,0.188002,10235.7729,0.016254,6
44553,0.207739,127705.657908,0.053955,10
38102,0.214078,106266.407937,0.046357,10
34634,0.20545,224653.030453,0.039773,17
16672,0.206005,122210.323008,0.044115,12
41498,0.187824,9397.735933,0.009944,4
25355,0.175391,0,0.006297,3
33700,0.189519,16985.43135,0.012276,5
10124,0.20343,151308.729084,0.038981,17
26250,0.185132,38029.313697,0.009308,5
3,0.199383,102402.079165,0.026236,13
26518,0.203888,119342.213354,0.032938,12
39718,0.180517,45043.209403,0.009106,6
13713,0.215561,351881.472793,0.064513,23
34114,0.201559,82289.312264,0.026577,9
19454,0.190752,16740.505144,0.013065,6
45114,0.208902,103668.768073,0.033335,11
4429,0.207643,306521.046947,0.033241,15
2573,0.221947,542920.312065,0.093783,24
46000,0.192444,32106.780671,0.013362,7
27675,0.200117,130983.349572,0.023075,10
28430,0.2043,103862.23902,0.037568,15
6627,0.193454,97863.32527,0.013942,8
46753,0.176384,12297.589833,0.005236,4
4,0.227729,560884.919825,0.111012,26
45360,0.241842,2047087.426819,0.231183,53
12512,0.22635,896636.451803,0.11255,30
39244,0.215216,222105.315062,0.047908,14
46144,0.212806,197347.712359,0.064379,16
13028,0.233175,1055515.770047,0.17587,43
1774,0.216962,520708.318512,0.062871,24
42738,0.209837,67734.423133,0.033315,10
15633,0.194635,59333.698318,0.015738,8
28266,0.198403,131997.076982,0.020196,9
31624,0.210145,125755.454333,0.038631,11
13495,0.224104,388944.180197,0.082923,19
33403,0.222241,189354.216543,0.071794,15
9077,0.204514,99646.30659,0.034023,11
2444,0.240364,1104762.845896,0.175989,31
27914,0.224641,552753.040672,0.08868,25
7058,0.217013,167934.756334,0.054745,12
2385,0.233434,640750.225271,0.161844,32
45791,0.225692,761074.615787,0.110921,31
43644,0.218095,158345.450455,0.049909,12
41120,0.211091,82724.761231,0.043336,10
33275,0.226575,422951.528364,0.101148,15
25213,0.220531,340912.177162,0.197283,34
3899,0.188879,11944.165302,0.010279,4
39561,0.226835,906781.79503,0.091731,27
13177,0.207907,218581.876248,0.046423,16
26791,0.209386,52834.530122,0.03407,10
5,0.188598,52224.515547,0.062409,20
17133,0.187476,101696.449135,0.03579,13
6400,0.20201,169667.252704,0.131166,33
38723,0.181326,69842.778726,0.034564,14
10656,0.207559,132268.005932,0.072491,15
11090,0.202538,153006.227437,0.119038,29
30907,0.170388,1741.591428,0.011174,4
34224,0.191546,36636.187924,0.054405,15
33870,0.191526,59686.729619,0.037376,9
37933,0.203128,142667.780607,0.095759,23
30022,0.202257,264047.707515,0.10129,26
23361,0.201852,101162.765172,0.044291,13
37363,0.184223,16152.375334,0.045133,13
36551,0.191619,13745.815788,0.052096,13
15444,0.203757,231434.249875,0.091601,25
14970,0.163826,474.142937,0.01059,5
20687,0.175376,545.314373,0.018288,4
2006,0.176292,4349.054781,0.015347,6
21101,0.17727,15370.300415,0.023024,11
8047,0.189643,40839.087622,0.04479,14
18702,0.202306,65716.609628,0.095276,21
6,0.187579,37435.999952,0.011884,7
15555,0.19921,139149.93781,0.022299,9
19884,0.182163,111232.515264,0.013526,7
1384,0.182672,83622.111998,0.015835,12
11296,0.2103,218178.322678,0.034885,13
30595,0.192096,156339.374143,0.01922,13
13352,0.207119,110785.580705,0.031817,10
40934,0.193613,224677.128815,0.023363,14
7,0.198865,131907.804625,0.025417,12
29097,0.199434,59146.44558,0.020553,9
28466,0.188444,2528.982135,0.013276,4
1743,0.223832,418418.70405,0.124917,23
31566,0.205931,39966.508594,0.043591,8
3590,0.202106,136667.117274,0.058622,17
583,0.20559,239695.500883,0.038545,16
10783,0.174181,946.71831,0.004085,3
26843,0.165878,0,0.001781,1
8186,0.199033,47111.12134,0.030299,11
8342,0.179628,6740.311087,0.007273,4
35181,0.190003,10763.555955,0.017042,6
14679,0.211236,354156.211861,0.069359,23
8,0.181042,106521.008306,0.011457,11
31932,0.182207,9159.179728,0.005931,2
15161,0.186768,95547.37016,0.011647,7
3348,0.171377,17829.751026,0.004645,3
35935,0.194768,117852.237049,0.022851,11
14906,0.161518,0,0.002332,2
10399,0.17576,79246.364553,0.008394,8
32970,0.165937,49804.919216,0.00414,4
19811,0.18158,17666.384366,0.009251,5
32635,0.190755,111439.049241,0.020052,12
44111,0.184231,142375.100036,0.010247,8
38033,0.187903,53945.451699,0.016595,10
9,0.201407,60035.929413,0.030419,11
35004,0.203191,25036.04092,0.0354,7
35711,0.219485,342660.77276,0.081401,19
24486,0.214908,326872.662475,0.073331,24
23531,0.200514,35380.693634,0.031479,9
17994,0.196404,76522.106964,0.025058,12
21009,0.201765,42873.602529,0.033293,12
7563,0.189229,59927.964943,0.019282,10
45774,0.206856,192379.674644,0.043548,18
43036,0.186928,9662.770621,0.016868,8
34010,0.212326,184915.576772,0.087027,20
730,0.223527,501445.803604,0.087436,22
10,0.193151,123802.2779,0.013515,7
42558,0.18136,115126.018491,0.010713,10
24774,0.168841,2714.33092,0.003078,3
42656,0.174623,41833.17488,0.00551,5
899,0.161884,0,0.001167,1
35605,0.216073,284404.150177,0.058157,20
43238,0.206146,139228.535265,0.029793,10
19031,0.226919,1030484.667147,0.093389,33
11,0.212211,225891.240423,0.050581,13
42779,0.20084,79008.064407,0.028775,12
32765,0.177389,721.721698,0.003954,2
44990,0.216044,458070.736923,0.069546,26
44172,0.204473,510785.07675,0.027408,14
22618,0.223306,622476.906981,0.120635,35
21470,0.210016,79542.488249,0.052154,14
23542,0.212307,193093.141433,0.058348,19
1008,0.188303,85438.285631,0.012807,9
23076,0.244263,1232181.028035,0.333721,50
1489,0.217226,793745.450755,0.060392,26
5298,0.197627,108614.748066,0.025266,13
23483,0.193285,32518.944406,0.013154,6
42089,0.229106,459684.64045,0.157918,27
12,0.198447,74880.039942,0.026435,11
4122,0.191458,77695.076947,0.016235,8
3467,0.197576,75492.166546,0.028816,11
35488,0.203256,171702.305898,0.027501,13
8526,0.193048,178805.538239,0.026936,15
15289,0.184039,19098.530467,0.01472,8
7431,0.193237,101676.868694,0.015429,10
10057,0.218699,448064.697516,0.084793,27
8416,0.20773,138125.180733,0.040915,15
43436,0.206732,167432.518114,0.040865,15
3792,0.196794,68690.979342,0.027323,11
29132,0.217914,168459.951095,0.104427,21
13,0.172006,0,0.004603,2
8204,0.202339,107104.628002,0.030701,11
17712,0.195902,142193.775455,0.040192,17
14,0.183849,328625.559849,0.016614,17
5218,0.174512,56739.870652,0.01058,8
34474,0.158211,773.692791,0.002509,2
24336,0.159564,5940.315663,0.00417,4
31224,0.155298,0,0.00165,1
27211,0.178775,36770.208713,0.009181,6
20162,0.16861,6415.694597,0.00314,2
8075,0.155298,0,0.00165,1
8015,0.178957,37868.884689,0.014844,11
11458,0.160505,526.194744,0.004571,4
32210,0.174001,76107.687409,0.007389,7
111,0.179149,37474.908429,0.009613,8
22462,0.218389,731226.361434,0.063179,18
8830,0.178597,26910.486672,0.008041,5
2739,0.170446,61896.185444,0.007448,7
31705,0.179414,64442.525113,0.013793,10
6308,0.155298,0,0.00165,1
47003,0.169384,6395.038646,0.003052,2
23023,0.179321,64358.502334,0.005845,5
19532,0.201574,210706.381307,0.024852,12
14055,0.195954,81973.819616,0.015136,4
