Id,closnesscentrality,betweenesscentrality,Degree,eigencentrality
0,0.399439,2034.547181,9,0.026423
6420,0.52489,871069.979396,1200,0.615442
2941,0.32207,15.324837,3,0.001615
3051,0.434045,57225.850674,313,0.164842
5511,0.529731,1243108.798458,1500,0.684066
1020,0.511123,801278.246333,1196,0.570817
4726,0.426802,6538.956549,94,0.084971
5968,0.54494,1307013.858731,1666,0.809072
5543,0.515347,804867.622419,1216,0.574134
4089,0.336191,78.400411,10,0.005388
6251,0.405574,424.552806,17,0.028082
180,0.43572,9804.609543,115,0.09838
1712,0.4215,14236.514125,78,0.069952
2287,0.353278,21.261771,5,0.007087
3552,0.434448,22713.867958,99,0.081782
4395,0.442223,23430.413193,165,0.112022
3920,0.453055,58466.179064,317,0.217474
6148,0.477642,207644.322016,594,0.34549
771,0.546578,1626046.553365,1695,0.796468
5208,0.50443,364472.112124,756,0.467697
790,0.434333,8842.009494,111,0.084803
4069,0.463182,180738.92086,468,0.225234
4522,0.394434,4322.507549,50,0.035624
6203,0.45053,5146.499822,68,0.106486
4496,0.362088,1606.589604,57,0.032334
1082,0.444807,20317.407227,138,0.118953
5175,0.454754,33189.455184,168,0.138882
3274,0.361329,332.717595,10,0.009656
2173,0.416672,546.733731,17,0.035841
2560,0.507086,804008.879589,1065,0.48295
1465,0.400024,14419.401889,47,0.036037
3623,0.414693,15433.277434,98,0.060009
2831,0.34852,136.951091,11,0.00847
1115,0.414299,50411.184525,222,0.099875
2944,0.363636,76.362826,5,0.008739
4716,0.431784,101690.845537,363,0.172912
4463,0.409685,13915.470197,54,0.045371
77,0.446323,264354.586074,566,0.245226
2,0.333996,155.588031,16,0.007312
5079,0.375373,2204.308477,59,0.032563
2842,0.378344,2614.710526,74,0.041347
475,0.381674,723.892637,23,0.019183
5911,0.373339,7959.499547,143,0.067361
6454,0.432868,2084.050673,28,0.06546
1041,0.401816,6277.081687,70,0.046936
2856,0.405349,4041.912076,48,0.037804
6040,0.379089,6010.405328,109,0.056715
4059,0.355425,1758.697688,17,0.012827
813,0.447207,23589.896891,113,0.120878
479,0.414693,56473.633577,279,0.131954
609,0.414982,4084.137096,37,0.047417
6528,0.378519,5265.257052,91,0.048508
2807,0.400612,2919.828238,44,0.041239
1721,0.360573,2084.458822,79,0.037376
1992,0.375115,2630.587872,74,0.040904
3,0.358069,23.217079,2,0.006513
412,0.398006,17827.974128,117,0.059106
45,0.432754,950.888247,31,0.068892
2367,0.479321,316251.235344,753,0.38249
996,0.417602,8688.022154,86,0.068072
2161,0.573732,2149614.762988,2040,1
4421,0.390064,6835.901195,121,0.067087
4445,0.397161,4264.141697,26,0.022116
6101,0.459541,43686.518684,323,0.233654
3356,0.444867,37379.103914,263,0.170635
3905,0.455576,23666.325431,258,0.200783
3138,0.38916,7762.742501,95,0.045506
2119,0.43264,27146.654179,146,0.10848
6442,0.431698,6951.217019,103,0.098328
327,0.404547,2285.742628,48,0.04229
3550,0.477225,265646.286841,611,0.308468
2650,0.513972,546364.808074,1092,0.578808
3629,0.420498,3300.459838,43,0.049752
4239,0.416937,10537.501309,171,0.120635
3857,0.483033,186027.401462,695,0.369149
2907,0.456657,60041.991734,449,0.257322
5383,0.362168,2656.836457,36,0.016991
5571,0.425942,3719.454704,72,0.085277
1751,0.489863,243565.163154,750,0.423172
3754,0.432983,15156.65855,164,0.106115
3087,0.463838,72619.11338,355,0.23517
4047,0.455196,46356.631692,343,0.232631
4717,0.499466,544922.339981,1066,0.500689
5,0.332673,40.247793,5,0.003912
3582,0.442552,2882.000301,45,0.088967
514,0.347891,393.124522,20,0.009959
4660,0.37445,451.177543,13,0.019439
183,0.437876,4998.173357,83,0.108911
6271,0.472098,218534.852195,535,0.279923
5827,0.376842,1950.13938,16,0.014972
3523,0.436446,2057.493552,39,0.082868
257,0.364061,1070.404505,27,0.015545
6310,0.406279,2079.61975,36,0.041617
5794,0.409301,7527.167266,34,0.032437
3476,0.482748,207949.859087,312,0.233932
5710,0.312822,24.048136,4,0.001122
471,0.347558,7707.19527,36,0.01126
3312,0.400808,628.840223,16,0.024543
5069,0.39351,215.476297,13,0.02653
