Id,closnesscentrality,betweenesscentrality,Degree,eigencentrality,shellIndex
0,0.182482,0,1,0.00025,1
18427,0.223212,1308078.122222,51,0.006059,5
1,0.257752,38599.953671,34,0.064947,28
21708,0.285807,609527.099474,195,0.218322,32
22208,0.283746,611134.244622,205,0.272769,32
22171,0.303557,4452854.746375,330,0.364454,33
6829,0.253072,1060.991692,27,0.052329,22
16590,0.274595,105554.105193,87,0.141531,32
20135,0.274467,133361.544744,140,0.17941,32
8894,0.268328,191891.240903,52,0.082532,31
15785,0.269077,49630.972127,147,0.16977,32
10281,0.256563,1479.647242,13,0.031124,13
22265,0.272081,488587.902582,226,0.419343,46
7136,0.25358,6539.82401,25,0.041409,22
22405,0.267549,192266.270742,41,0.077754,29
10379,0.302027,3901356.745162,468,0.562066,41
13737,0.259682,38622.14847,62,0.089449,32
8533,0.259877,35035.28447,36,0.066263,28
14344,0.2696,14590.556932,50,0.094419,32
2812,0.259415,16476.037742,45,0.084825,32
5755,0.263023,26090.983355,68,0.109154,32
16260,0.255388,81104.080697,26,0.048032,21
15026,0.270525,12858.348047,42,0.084464,32
17370,0.279643,139294.919713,193,0.209825,32
17460,0.255428,7892.033739,66,0.081795,32
8049,0.279201,237874.52817,193,0.25879,32
5307,0.269303,29614.117568,122,0.151897,32
4987,0.26677,107329.424219,99,0.117942,32
18304,0.224499,98094.171115,25,0.005405,8
12305,0.265915,280805.779135,67,0.059386,29
19743,0.317413,10047497.025542,678,0.820389,46
20024,0.269969,338648.081241,128,0.217426,34
21729,0.317475,10051223.379021,659,0.807066,46
10554,0.257318,40610.263723,56,0.105216,32
11557,0.26561,242190.695369,72,0.072607,28
5228,0.274303,157511.763315,64,0.117336,32
9934,0.262234,12326.555962,71,0.092966,32
2,0.18954,737.906647,12,0.001772,8
9048,0.206128,9684.207348,14,0.001987,8
6353,0.225502,169317.320916,23,0.003741,8
2629,0.201789,434.450707,2,0.000326,2
11537,0.206674,55437.34437,22,0.002966,8
13205,0.188977,6931.577625,20,0.00265,8
22304,0.214811,103869.981022,20,0.003448,8
17728,0.219834,22088.045522,9,0.001902,8
19337,0.223046,35463.043697,14,0.002514,8
126,0.206788,57925.395611,23,0.003081,8
17554,0.222675,44521.061368,11,0.00215,8
8495,0.210285,33828.871747,17,0.002514,8
5857,0.189217,556.900313,11,0.001647,8
3,0.219007,13135.482364,10,0.002221,9
16742,0.24284,193600.41232,21,0.009855,10
293,0.225633,143099.100384,59,0.009287,12
5826,0.233248,90711.046186,36,0.007955,12
3479,0.2291,32186.061798,22,0.004313,11
19753,0.224614,32791.094174,32,0.006076,12
17346,0.244125,52121.789656,15,0.007454,12
10945,0.238907,501608.220454,46,0.008683,12
22338,0.263916,678102.301069,46,0.012056,12
11319,0.223004,2846.953223,14,0.003052,12
9654,0.21219,535.265758,8,0.00173,7
4,0.230387,31660.834738,51,0.021515,23
13645,0.253704,206353.178114,65,0.031064,24
20876,0.224356,1198.995553,32,0.017993,24
11446,0.220932,337.75314,22,0.009809,21
16203,0.230137,17892.704361,56,0.023185,24
2830,0.21669,890.892255,20,0.009282,19
2004,0.233078,45362.608236,37,0.016684,20
20624,0.22564,4966.117613,38,0.014924,23
21280,0.227159,7407.142766,47,0.022495,24
1182,0.229285,30802.520165,32,0.010579,17
21538,0.21812,306.107628,26,0.011146,23
1443,0.238692,47390.707818,71,0.035262,26
11423,0.221365,9234.502975,29,0.007389,13
187,0.248123,388333.11149,142,0.064497,30
5730,0.214056,34.468975,16,0.007744,16
2983,0.220559,2802.921063,35,0.015324,23
1489,0.240053,227383.245468,22,0.009878,8
6823,0.226222,55187.810937,43,0.020788,24
17695,0.244574,297760.337569,112,0.037974,24
11102,0.25903,739609.158767,158,0.066041,30
6390,0.257312,585825.907105,64,0.027445,23
17242,0.221058,502.1548,20,0.009957,19
10018,0.218498,687.501336,32,0.013372,23
5147,0.223971,4378.462176,31,0.014879,23
6427,0.237921,36348.701875,41,0.019205,23
14628,0.23274,31067.139393,70,0.037869,30
1882,0.224872,2376.861387,30,0.014648,23
22401,0.215342,497.263232,33,0.012979,23
16128,0.234311,35447.141224,61,0.027802,24
12872,0.24851,175921.597354,69,0.035491,24
9263,0.232704,12275.041142,55,0.026503,24
14155,0.225226,2099.614799,32,0.014681,23
21631,0.231871,9405.490678,71,0.036534,30
6329,0.213815,19.62825,21,0.008253,19
17507,0.229007,5644.334467,18,0.006388,14
2282,0.230709,9334.847751,73,0.03842,30
9706,0.235739,31472.308683,57,0.024192,24
