Id,closnesscentrality,betweenesscentrality,Degree,eigencentrality,shellIndex
0,0.399439,2034.547181,9,0.026423,8
6420,0.52489,871069.979396,1200,0.615442,40
2941,0.32207,15.324837,3,0.001615,3
3051,0.434045,57225.850674,313,0.164842,40
5511,0.529731,1243108.798458,1500,0.684066,40
1020,0.511123,801278.246333,1196,0.570817,40
4726,0.426802,6538.956549,94,0.084971,39
5968,0.54494,1307013.858731,1666,0.809072,40
5543,0.515347,804867.622419,1216,0.574134,40
4089,0.336191,78.400411,10,0.005388,9
6251,0.405574,424.552806,17,0.028082,16
180,0.43572,9804.609543,115,0.09838,38
1712,0.4215,14236.514125,78,0.069952,37
2287,0.353278,21.261771,5,0.007087,5
3552,0.434448,22713.867958,99,0.081782,38
4395,0.442223,23430.413193,165,0.112022,40
3920,0.453055,58466.179064,317,0.217474,40
6148,0.477642,207644.322016,594,0.34549,40
771,0.546578,1626046.553365,1695,0.796468,40
5208,0.50443,364472.112124,756,0.467697,40
790,0.434333,8842.009494,111,0.084803,37
4069,0.463182,180738.92086,468,0.225234,40
4522,0.394434,4322.507549,50,0.035624,28
6203,0.45053,5146.499822,68,0.106486,39
4496,0.362088,1606.589604,57,0.032334,32
1082,0.444807,20317.407227,138,0.118953,40
5175,0.454754,33189.455184,168,0.138882,40
3274,0.361329,332.717595,10,0.009656,9
2173,0.416672,546.733731,17,0.035841,16
2560,0.507086,804008.879589,1065,0.48295,40
1465,0.400024,14419.401889,47,0.036037,26
3623,0.414693,15433.277434,98,0.060009,35
2831,0.34852,136.951091,11,0.00847,10
1115,0.414299,50411.184525,222,0.099875,39
2944,0.363636,76.362826,5,0.008739,5
4716,0.431784,101690.845537,363,0.172912,40
4463,0.409685,13915.470197,54,0.045371,31
77,0.446323,264354.586074,566,0.245226,40
2,0.333996,155.588031,16,0.007312,15
5079,0.375373,2204.308477,59,0.032563,35
2842,0.378344,2614.710526,74,0.041347,36
475,0.381674,723.892637,23,0.019183,20
5911,0.373339,7959.499547,143,0.067361,40
6454,0.432868,2084.050673,28,0.06546,26
1041,0.401816,6277.081687,70,0.046936,34
2856,0.405349,4041.912076,48,0.037804,33
6040,0.379089,6010.405328,109,0.056715,40
4059,0.355425,1758.697688,17,0.012827,14
813,0.447207,23589.896891,113,0.120878,40
479,0.414693,56473.633577,279,0.131954,40
609,0.414982,4084.137096,37,0.047417,26
6528,0.378519,5265.257052,91,0.048508,37
2807,0.400612,2919.828238,44,0.041239,33
1721,0.360573,2084.458822,79,0.037376,35
1992,0.375115,2630.587872,74,0.040904,37
3,0.358069,23.217079,2,0.006513,2
412,0.398006,17827.974128,117,0.059106,35
45,0.432754,950.888247,31,0.068892,28
2367,0.479321,316251.235344,753,0.38249,40
996,0.417602,8688.022154,86,0.068072,35
2161,0.573732,2149614.762988,2040,1,40
4421,0.390064,6835.901195,121,0.067087,37
4445,0.397161,4264.141697,26,0.022116,18
6101,0.459541,43686.518684,323,0.233654,40
3356,0.444867,37379.103914,263,0.170635,40
3905,0.455576,23666.325431,258,0.200783,40
3138,0.38916,7762.742501,95,0.045506,32
2119,0.43264,27146.654179,146,0.10848,40
6442,0.431698,6951.217019,103,0.098328,40
327,0.404547,2285.742628,48,0.04229,32
3550,0.477225,265646.286841,611,0.308468,40
2650,0.513972,546364.808074,1092,0.578808,40
3629,0.420498,3300.459838,43,0.049752,28
4239,0.416937,10537.501309,171,0.120635,40
3857,0.483033,186027.401462,695,0.369149,40
2907,0.456657,60041.991734,449,0.257322,40
5383,0.362168,2656.836457,36,0.016991,22
5571,0.425942,3719.454704,72,0.085277,40
1751,0.489863,243565.163154,750,0.423172,40
3754,0.432983,15156.65855,164,0.106115,40
3087,0.463838,72619.11338,355,0.23517,40
4047,0.455196,46356.631692,343,0.232631,40
4717,0.499466,544922.339981,1066,0.500689,40
5,0.332673,40.247793,5,0.003912,5
3582,0.442552,2882.000301,45,0.088967,36
514,0.347891,393.124522,20,0.009959,17
4660,0.37445,451.177543,13,0.019439,12
183,0.437876,4998.173357,83,0.108911,40
6271,0.472098,218534.852195,535,0.279923,40
5827,0.376842,1950.13938,16,0.014972,13
3523,0.436446,2057.493552,39,0.082868,31
257,0.364061,1070.404505,27,0.015545,20
6310,0.406279,2079.61975,36,0.041617,26
5794,0.409301,7527.167266,34,0.032437,21
3476,0.482748,207949.859087,312,0.233932,40
5710,0.312822,24.048136,4,0.001122,4
471,0.347558,7707.19527,36,0.01126,23
3312,0.400808,628.840223,16,0.024543,14
5069,0.39351,215.476297,13,0.02653,13
1133,0.459026,30949.679868,141,0.139555,40
6090,0.415535,1948.609362,29,0.053575,26
4811,0.334611,6550.590783,4,0.003968,3
3776,0.413567,227.923305,18,0.044181,17
663,0.411358,2309.486082,35,0.040019,27
6,0.370718,5.538472,5,0.015941,5
1482,0.40762,4318.458737,35,0.04057,24
1284,0.482606,157259.362023,619,0.374867,40
4451,0.463214,54824.266933,327,0.242451,40
7,0.348762,107.902228,12,0.0112,11
2228,0.422452,5461.426639,60,0.06552,37
3350,0.392801,3376.321819,135,0.087809,40
6403,0.424066,79879.969006,416,0.199659,40
768,0.380233,1491.646371,51,0.034909,33
1025,0.451244,252429.819223,591,0.258535,40
4615,0.381207,959.329486,20,0.019146,15
64,0.421989,5202.718517,67,0.060647,35
1485,0.353526,179.049308,11,0.009237,11
1240,0.425665,14113.442853,139,0.094547,40
2374,0.401299,63460.844099,347,0.15859,40
8,0.360672,563.753265,20,0.01343,18
4018,0.441418,9171.805829,77,0.083329,38
612,0.48339,268982.460723,681,0.36956,40
5908,0.395077,3250.760547,48,0.032503,28
2825,0.341575,515.1721,23,0.009318,18
1253,0.359247,1483.472627,54,0.028631,31
5207,0.394007,337.80036,18,0.026661,18
5756,0.432154,2483.439209,34,0.055179,26
5530,0.398248,2682.266311,39,0.033959,28
1195,0.353697,312.068548,11,0.007292,11
2012,0.42859,4051.184217,43,0.059632,29
3551,0.366753,3024.445535,53,0.024902,30
2238,0.401176,2216.460803,27,0.03101,21
1155,0.410456,65850.107138,207,0.085767,35
4918,0.470504,75957.486282,318,0.228295,40
1100,0.434246,77274.963386,386,0.199209,40
179,0.403624,1862.544841,27,0.030347,21
4214,0.37806,10683.558749,92,0.049838,36
4813,0.414588,3695.799151,45,0.051888,31
2257,0.43572,25666.665339,174,0.111636,40
9,0.367865,1157.27371,33,0.022779,25
3253,0.394981,4779.333745,76,0.056126,40
2568,0.371686,6533.933227,129,0.061048,40
766,0.358069,2096.614469,90,0.048548,40
4953,0.377973,1204.503361,75,0.050573,40
1573,0.413671,4345.460664,107,0.089704,40
1056,0.401989,628.342977,16,0.033948,15
3995,0.417842,8662.505719,104,0.070511,37
3329,0.327416,154.71657,13,0.004124,11
1276,0.321091,135.53012,14,0.006997,13
877,0.329029,42.516863,18,0.009742,18
1969,0.424864,12664.034082,105,0.090139,40
3952,0.417922,3911.258229,70,0.066784,40
5582,0.388122,7298.230441,180,0.1,40
4663,0.390389,4457.886735,54,0.041897,34
5384,0.368569,9337.422928,53,0.029286,33
5130,0.393888,2485.127782,72,0.048394,37
287,0.400636,3596.629474,44,0.031366,27
5385,0.392378,2491.759244,63,0.049946,40
6084,0.422098,53778.704991,336,0.174285,40
3313,0.327679,37.623389,7,0.003408,7
1127,0.381919,1682.684567,73,0.051319,39
6056,0.353049,286.010656,15,0.009526,12
6466,0.403923,14886.743047,184,0.108365,40
4329,0.345559,2522.379622,48,0.020994,29
1320,0.365402,74.766772,19,0.016839,18
2108,0.360751,1445.620698,30,0.016525,22
6281,0.417283,14027.611087,142,0.094823,40
10,0.438345,779.897841,33,0.082851,29
3510,0.390972,1592.075804,23,0.021727,19
142,0.448739,32662.742721,275,0.204833,40
1890,0.464925,115602.79955,429,0.254311,40
398,0.419555,2508.827327,52,0.051918,32
5516,0.450375,76052.08174,455,0.262419,40
4453,0.479777,128142.715699,512,0.313846,40
5554,0.485325,298701.070187,567,0.313394,40
5094,0.40125,12803.916757,117,0.065536,36
938,0.471384,76179.231953,302,0.21519,40
2799,0.4702,135901.556419,561,0.328603,40
2459,0.451088,60738.222617,347,0.220367,40
361,0.419717,176.278523,18,0.0528,18
3959,0.392566,2076.871136,35,0.026288,24
2712,0.435372,17523.339596,145,0.101572,38
188,0.458511,24865.753103,103,0.138018,40
3046,0.398006,72.701089,20,0.043564,20
1808,0.378847,2121.974239,54,0.03571,33
3459,0.472916,275855.209416,658,0.324405,40
98,0.437262,8145.998636,133,0.116706,40
1616,0.442821,37530.127212,165,0.103054,38
4719,0.449478,26413.598857,305,0.209709,40
577,0.428506,3783.760222,65,0.076426,37
586,0.421147,6904.892043,114,0.092606,40
1875,0.371644,1847.716833,26,0.019345,21
4443,0.382432,676.333751,21,0.019879,18
998,0.425305,10492.015446,95,0.091946,40
1917,0.39144,1098.494049,15,0.028558,14
399,0.413175,10853.057392,57,0.050627,34
2448,0.439051,9475.650433,159,0.147957,40
5578,0.427499,11073.635572,55,0.067521,30
6165,0.478585,76323.966934,269,0.264711,40
4724,0.393462,872.136702,24,0.027348,22
6108,0.424809,6567.696462,61,0.071071,37
3472,0.450809,68045.908679,221,0.139759,40
3388,0.415984,23705.143507,97,0.065478,37
3984,0.362288,720.956554,36,0.019861,27
1726,0.376041,2892.845697,81,0.045619,35
5388,0.448585,75075.567091,301,0.163046,40
3575,0.419475,6192.387846,80,0.061292,36
1285,0.441062,6607.348571,92,0.10958,40
1015,0.416328,19248.360501,191,0.114086,40
5792,0.37053,45.183823,9,0.017561,9
2661,0.358421,303.274071,26,0.018512,22
3096,0.40044,3682.713958,34,0.039758,25
210,0.439876,7583.34332,83,0.092759,40
